name,content,image_id,price,category_id,product_type_id
세작 40g,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,1,17000,2,1
덖음차 50g,꺠끗한 제주의 신선한 찻잎을 정성스레 덖은 녹차입니다.,1,15000,2,1
세작 80g,제주 차밭의 어린 찻잎으로 만든 작설차,1,40000,2,1
세작 20입,제주 차밭의 어린 찻잎으로 만든 작설차를 피라미드 티백으로 간편하게 즐겨보세요.,1,20000,2,2
세작 10입 ,제주 차밭의 어린 찻잎으로 만든 작설차,1,17000,2,2
세작 3입,제주 차밭의 어린 찻잎으로 만든 작설차를 처음 접하시거나 다양한 차를 조금씩 맛보고 싶으시다면 3입 제품으로 체험해보세요.,1,5000,2,2
가루 녹차,제주 오설록 직영 차밭에서 100% 유기농으로 재배한 프리미엄 가루 녹차입니다.,1,10000,2,4
프리미엄 말차 ,어린 찻잎을 정성껏 갈아 만든 깊은 풍미의 유기농 말차,1,23000,2,4
말차 스틱,물이나 우유에 편리하게 타먹는 달콤한 말차(가루 녹차),1,10000,2,4
세작 80g 선물세트,고급 케이스에 제주 차밭의 어린 찻잎으로 만든 작설차 세작과 차칙을 함께 담은 선물 세트,1,48000,1,1
메모리 인 제주 20입,제주 꽃길에서 느꼈던 설렘의 향기와 달콤했던 사랑의 추억을 떠 올려줄 제주 꽃을 모티브로 한 BEST TEA SET 입니다.,1,38000,1,2
신 오브 제주,제주의 아름다운 숨은 비경을 담은 블렌디드 티 모음 세트입니다.,2,27000,1,2
허브티 컬렉션,남녀노소 즐기기 좋은 오설록 대표 허브티 3종 세트,2,25000,1,2
베스트 티 컬렉션 9종,순수차 블렌디드티 허브티를 모두 경험할 수 있는 오설록 베스트 티 선물 세트,2,62000,1,2
오설록 달빛걷기 3입,달큰한 배향이 달빛처럼 은은하게 감도는 후발효차를 소중한 사람에게 선물해보세요.,2,8000,1,2
오 땡큐 티 박스,고마운 분께 감사한 마음을 담은 패키지에 다양한 맛과 향을 즐길 수 있는 합리적 가격의 온라인 전용 기획 세트,2,22000,1,3
베스트 블렌디드 티백 박스,제주만의 특별함을 담아내어 블렌딩한 프리미엄 티백 라인입니다.,2,29500,1,3
과일 블렌디드 티백 박스,제주만의 특별함을 담아내어 블렌딩한 프리미엄 티백 라인입니다.,2,29500,1,3
달달 블렌디드 티백 박스,제주만의 특별함을 담아내어 블렌딩한 프리미엄 티백 라인입니다.,2,29500,1,3
