name,content,image_id,price,category_id,product_type_id
제주 티 박스,즐겁고 행복한 티타임을 선사하는 달콤하고 향긋한 오설록만의 특별한 블렌디드 티 세트,1,20000,1,2
시크릿 티 피드,즐겁고 행복한 티타임을 선사하는 달콤하고 향긋한 오설록만의 특별한 블렌디드 티 세트,2,45000,1,2
마스터 블렌딩,즐겁고 행복한 티타임을 선사하는 달콤하고 향긋한 오설록만의 특별한 블렌디드 티 세트,3,53000,1,2
프리미엄 티 컬렉션,즐겁고 행복한 티타임을 선사하는 달콤하고 향긋한 오설록만의 특별한 블렌디드 티 세트,4,28000,1,3
베스트 블렌디드 티백 박스,즐겁고 행복한 티타임을 선사하는 달콤하고 향긋한 오설록만의 특별한 블렌디드 티 세트,5,29500,1,3
과일 블렌디드 티백 박스,즐겁고 행복한 티타임을 선사하는 달콤하고 향긋한 오설록만의 특별한 블렌디드 티 세트,6,29500,1,3
세작 80g 선물세트,즐겁고 행복한 티타임을 선사하는 달콤하고 향긋한 오설록만의 특별한 블렌디드 티 세트,7,48000,1,1
허브티 컬렉션,즐겁고 행복한 티타임을 선사하는 달콤하고 향긋한 오설록만의 특별한 블렌디드 티 세트,8,25000,1,3
우적 60g,가장 먼저 딴 여린 차순을 정성르세 덖어낸 오설록 고급 차입니다,9,70000,3,1
이로향 60g,가장 먼저 딴 여린 차순을 정성르세 덖어낸 오설록 고급 차입니다,10,150000,3,1
이로향 80g,가장 먼저 딴 여린 차순을 정성르세 덖어낸 오설록 고급 차입니다,11,170000,3,1
일출향 60g,가장 먼저 딴 여린 차순을 정성르세 덖어낸 오설록 고급 차입니다,12,90000,3,1
적우전 60g,가장 먼저 딴 여린 차순을 정성르세 덖어낸 오설록 고급 차입니다,13,90000,3,1
적우전 70g,가장 먼저 딴 여린 차순을 정성르세 덖어낸 오설록 고급 차입니다,14,80000,3,1
일출향 80g,가장 먼저 딴 여린 차순을 정성르세 덖어낸 오설록 고급 차입니다,14,130000,3,1
달차 40g,가장 먼저 딴 여린 차순을 정성르세 덖어낸 오설록 고급 차입니다,14,200000,3,1
가루 녹차,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,15,10000,2,4
프리미엄 말차,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,16,23000,2,4
말차 스틱,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,17,10000,2,4
세작 10입,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,18,20000,2,2
세작 20입,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,19,23000,2,2
세작 3입,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,20,5000,2,2
찬물 녹차,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,21,9000,2,3
제주 순수녹차,제주 차밭의 어린 찻잎으로 만든 작설차를 원하는 용량만큼 우려드실 수 있는 잎차입니다.,20,9500,2,3
